#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100,-184571.05719723436,1294.1265450085953,24.53306171712048,0
200,-183285.2185597574,1130.391499366603,24.53306171712048,2.78
300,-183432.69632233866,1046.743097566815,24.75723326723746,2.81
400,-183042.71194953367,954.676926759131,24.940853465218783,2.86
500,-183110.87492172496,893.3540627635168,25.077786307847486,2.87
600,-182735.16490149358,821.4185484177915,25.077786307847486,2.87
700,-183262.76408071927,797.6973959522538,25.257106524299672,2.88
800,-183034.56022604054,739.8590930279654,25.462122631653564,2.87
900,-183552.57725893077,717.8633742261679,25.781092253864756,2.87
1000,-183753.8318489996,695.3887470832185,25.766682409854653,2.84
1100,-184096.9624866912,669.2787430822652,25.928969885226,2.8
1200,-184242.29840738932,636.1101017161873,26.50942012908367,2.75
1300,-184366.2075757237,602.5782975729337,26.94332560416463,2.71
1400,-184670.52276762284,589.3303197951955,26.94332560416463,2.69
1500,-184966.33583164535,568.6990929012986,26.992395525171343,2.66
1600,-185226.3651886459,556.4797706138074,27.272250136087496,2.64
1700,-185372.2116864613,537.7892263540608,27.448755277102492,2.61
1800,-185435.18126640894,520.7480796320848,27.48640120572914,2.6
1900,-185605.53981507302,515.619909671933,27.609633548060252,2.59
2000,-186066.69400982495,513.1107038656742,27.676544244146765,2.58
2100,-186049.9673507096,490.3654362064969,27.492152974444323,2.57
2200,-186434.3440050017,490.4396938502587,27.29035227454773,2.55
2300,-186599.80289838475,479.524439389313,27.29035227454773,2.54
2400,-186638.84342012857,465.9750939362781,27.26172329427471,2.53
2500,-186799.10451125714,459.7933084086054,27.35043440692258,2.53
2600,-187128.52399693686,458.82368471455106,27.43647301009921,2.53
2700,-187299.30189239187,450.62476977729887,27.43647301009921,2.52
2800,-187224.3244444928,433.9798544262749,27.560638818030196,2.51
2900,-187367.70148879208,430.4542104490067,27.34045690110374,2.51
3000,-187758.0420007069,432.5060301611835,27.218919188049316,2.51
3100,-187893.6464661464,427.32564255369846,26.97099925459583,2.5
3200,-188077.36217905744,420.94893472275766,26.63970538512795,2.5
3300,-188168.60240946198,414.89769926357087,26.754033858861444,2.49
3400,-188168.77675104828,401.86834478003925,26.607911182499663,2.49
3500,-188490.768792551,409.24768700869197,26.630380942134277,2.49
3600,-188740.21976257063,407.31400039116147,26.593271851139722,2.48
3700,-188814.13028142333,397.23647678747693,26.581059785412766,2.48
3800,-189086.8000546801,394.6883139405467,26.543267180016123,2.47
3900,-189188.75428736204,394.8059122895004,26.71252385854663,2.47
4000,-189240.69479837077,387.4348841255647,26.529302839059717,2.47
4100,-189333.1781084895,384.11182665559176,26.401621433494476,2.47
4200,-189501.9085325601,384.51957794337073,26.40088503221709,2.46
4300,-189533.02856477874,379.5828055402001,26.46699761006034,2.46
4400,-189777.45226313407,383.34015430375547,26.222391494950465,2.46
4500,-189692.6061831714,372.68171331234424,26.309915653315013,2.46
4600,-190047.91496202664,373.7994097311361,25.9440930702817,2.46
4700,-190138.8335386584,367.1769762198037,25.662077616627382,2.46
4800,-190203.00097503338,362.2408943775776,25.50407045578396,2.45
4900,-190308.15546111268,365.588372103071,25.348946508077955,2.45
5000,-190572.7446146221,377.75527595365827,25.331266874028127,2.45
