#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100,-787349.8978020852,403.7734112526526,523.509176644875,0
200,-784130.3019121774,387.0549024425085,527.9940199813718,1.36
300,-780817.3808073266,372.37881215789156,527.9940199813718,1.38
400,-777371.60723079,358.74777044293074,534.2704715884253,1.37
500,-774580.3702765252,346.5745368096194,536.5561837065354,1.35
600,-773373.5127622448,339.83254657523736,538.7386426293135,1.3
700,-774513.6949918387,337.61300625666684,538.7386426293135,1.28
800,-773886.4876293689,333.21065427872753,540.8841274900449,1.26
900,-774635.3887394904,332.35279436316114,540.9305822452724,1.25
1000,-774908.1327886926,329.9249864590029,540.9305822452724,1.24
1100,-775534.6791494363,327.2474860484467,541.2491728451131,1.23
1200,-776538.1481858464,327.3546297799242,539.7359934051185,1.23
1300,-776891.306040965,324.90694702136665,539.7359934051185,1.23
1400,-776968.9208751866,322.64053965849575,539.0046863090582,1.22
1500,-777810.2859521555,323.44315278135815,539.0046863090582,1.22
1600,-779070.78670931,324.8879754523142,539.0237403366842,1.22
1700,-779188.6919084471,322.40121631876923,538.0862340658645,1.22
1800,-781159.2517752205,324.98133340330963,538.0862340658645,1.21
1900,-781462.9507029322,324.03910244675575,537.4523349871705,1.21
2000,-782530.0509010437,323.4952286088998,535.8889891776828,1.21
2100,-783514.5457055932,323.53200090639643,536.6296156546221,1.21
2200,-783727.4903444969,321.5794382705448,534.9749052318464,1.21
2300,-784781.4413336995,322.22543486463024,533.8004876387092,1.21
2400,-784567.7733104029,319.49073040208026,532.5706176700331,1.22
2500,-785164.136439438,319.385526423055,531.6121403645709,1.22
2600,-786989.5130406837,322.25157355864724,530.2415629229091,1.22
2700,-787599.3642364913,320.7364024782259,529.2386345809655,1.22
2800,-788092.9013785659,319.47600198045706,528.8397053976512,1.22
2900,-789235.1527016824,319.4268345144193,526.7138637940689,1.22
3000,-789278.800099256,317.8114830841907,526.4723889184235,1.22
3100,-789135.2277168194,315.66247590983767,526.4723889184235,1.22
3200,-791239.6861557951,319.2814791446425,523.0860557477745,1.22
3300,-791901.0097198328,317.70351779873823,523.0860557477745,1.23
3400,-791861.3141436516,316.52519283224996,523.0860557477745,1.23
3500,-793619.7707086755,318.3105307622503,520.8118287961167,1.23
3600,-795095.1597323613,319.37327533370984,518.1360094290056,1.23
3700,-795879.6244566897,319.6677361884726,516.7450257010285,1.23
3800,-795204.177972401,315.35859507045257,517.2027802386968,1.23
3900,-796013.6278706565,315.78952147709913,516.2927575310592,1.23
4000,-796241.9015894583,313.93259764211837,514.4732277425451,1.23
4100,-796859.4629899478,313.6923486486656,514.4732277425451,1.23
4200,-798053.7220255481,315.1973115934314,514.4732277425451,1.23
4300,-797973.7184619377,312.92774939013793,512.781751116564,1.23
4400,-798669.6626126752,313.2223820433775,511.8566006554911,1.23
4500,-799657.6790119559,313.8634614128156,510.9644193290808,1.23
4600,-800482.489069216,314.56397550457194,510.9644193290808,1.23
4700,-800800.8028532206,313.80948230310497,510.97524320690974,1.23
4800,-801609.1841810658,313.560046180089,510.97524320690974,1.23
4900,-801676.117832487,312.0380891493147,509.4992192957362,1.23
5000,-802621.4799613785,314.0105190744495,509.4992192957362,1.23
5100,-802779.2488444601,312.9404339851078,508.5159288606939,1.23
5200,-804005.7089809431,314.3993672572335,508.8227016533634,1.23
5300,-802774.8788399743,310.51278867296065,508.605983956177,1.23
5400,-803275.1478124415,310.73202604808614,508.605983956177,1.23
5500,-803258.7908381592,311.1115391541518,508.605983956177,1.23
5600,-803927.0117997378,312.9362740395282,508.605983956177,1.23
5700,-803446.4970191321,310.98322295838176,509.0574566396899,1.23
5800,-803272.1611112445,309.9528587928895,509.0574566396899,1.23
5900,-803516.3441085699,309.3872933740275,507.4372818902879,1.23
6000,-803982.4227573504,309.77225566035816,507.14674445443944,1.23
6100,-804775.7220783732,310.5455280015985,506.536529502576,1.23
6200,-806330.8316740994,312.76140166492223,505.53814579193704,1.23
6300,-805724.2951822765,309.9587248126179,505.2715401776238,1.23
6400,-805537.82883971,308.572711925298,505.2715401776238,1.23
6500,-806460.0831571342,309.6778400733195,505.2715401776238,1.23
6600,-806749.1533102319,309.56731971529445,504.6520165710413,1.23
6700,-806363.5140667986,307.98166951771327,504.6520165710413,1.23
6800,-806518.3731107065,308.14935461804157,505.7021206062714,1.23
6900,-807240.3259603269,308.098994906598,503.64940518296896,1.23
7000,-807265.2963707782,307.40951843189293,503.64940518296896,1.23
7100,-807326.3526716409,307.240668394064,503.64940518296896,1.23
7200,-807694.7314514881,306.5990013743089,503.64940518296896,1.23
7300,-808463.4034803095,308.50798336869906,502.5243049114183,1.23
7400,-808337.6141797244,307.5813546820768,502.2826166242872,1.23
7500,-808134.8580790716,307.5094089852056,502.08647664350366,1.23
7600,-808647.2996622073,307.4535067495636,501.2866004816838,1.23
7700,-808890.7466849363,307.45238415323024,501.2866004816838,1.23
7800,-809914.7099633832,308.6134689623519,500.6677908385294,1.23
7900,-808997.7712269961,306.17462522862064,501.65774077856827,1.23
8000,-809703.8518379591,306.816935767028,501.65774077856827,1.23
8100,-810691.0731968498,308.3217015116053,501.86216392930226,1.22
8200,-810489.5845247218,307.12696145020084,501.8949812275169,1.22
8300,-810652.6846644259,306.9584304126914,502.14998935158644,1.22
8400,-810339.5513152415,306.31398241531895,502.3235843175578,1.22
8500,-809714.4223039476,304.9296229088872,502.3235843175578,1.22
8600,-809652.942098259,303.9077826471091,503.24314596761957,1.22
8700,-809561.24435835,304.04653325277474,502.97978254904604,1.22
8800,-810176.6952759875,305.8184880330562,503.1341400634469,1.22
8900,-809595.0277628233,303.57333489458676,501.96333775272893,1.22
9000,-811510.6813243339,307.26326873177413,501.34662237671824,1.22
9100,-811496.8184254016,307.04885151681776,500.6352433579436,1.22
9200,-811475.3779635997,305.49624632655434,500.9996839063206,1.22
9300,-810916.2135690581,303.5560385274442,501.1966649074118,1.22
9400,-811257.9539440246,305.2674351793503,500.2064950392625,1.22
9500,-810959.093781935,304.8637973115973,500.68083197139686,1.22
9600,-812218.6764640785,306.72233454541356,499.62250081699716,1.22
9700,-812161.9715568055,305.2286560272226,500.7457224898877,1.22
9800,-812294.1489964472,304.8219273376725,500.87621381348265,1.22
9900,-812209.8231298667,304.7527920505262,500.9970826827676,1.22
10000,-812106.3159197276,304.22485862932353,500.64826131723254,1.22
